epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6248,1.84607,4.02708,1.28828,0.00275,0.79545,0.00451,0.00199,1.45641,4.26473,1.10532,0.000654545,0.000654545,0.000654545
2,59.6732,1.6163,2.38242,1.11092,0.7949,0.625,0.72725,0.3475,1.55219,1.90383,1.18303,0.00130813,0.00130813,0.00130813
3,81.1646,1.58086,1.92282,1.11903,0.01038,0.02273,0.00136,0.00062,2.95527,22.9888,2.33441,0.00194852,0.00194852,0.00194852
4,101.502,1.51996,1.67697,1.10488,0.72631,0.59091,0.65227,0.32599,1.66409,2.00422,1.28657,0.0019406,0.0019406,0.0019406
5,114.871,1.50427,1.50485,1.09712,0.61499,0.47727,0.55514,0.26247,1.58351,2.03288,1.1605,0.0019208,0.0019208,0.0019208
6,128.424,1.4961,1.42562,1.09123,0.63454,0.61364,0.66434,0.29796,1.65577,1.41017,1.18159,0.001901,0.001901,0.001901
7,141.725,1.50034,1.34902,1.07566,0.67929,0.60227,0.64209,0.24591,1.85929,1.62649,1.35131,0.0018812,0.0018812,0.0018812
8,155.023,1.51063,1.22556,1.09575,0.77323,0.56818,0.67284,0.28375,1.88102,1.465,1.37198,0.0018614,0.0018614,0.0018614
9,168.518,1.45587,1.19793,1.06636,0.7168,0.6328,0.67893,0.3204,1.65655,1.41258,1.17753,0.0018416,0.0018416,0.0018416
10,182.373,1.42567,1.19415,1.04601,0.72476,0.67045,0.75107,0.3504,1.66576,1.08188,1.21299,0.0018218,0.0018218,0.0018218
11,195.749,1.41105,1.17796,1.04591,0.73499,0.81944,0.81782,0.43413,1.52046,1.02121,1.13091,0.001802,0.001802,0.001802
12,208.754,1.39439,1.07978,1.05092,0.87096,0.69035,0.79157,0.4064,1.67853,1.17812,1.23036,0.0017822,0.0017822,0.0017822
13,221.825,1.41565,1.10916,1.05346,0.84802,0.76087,0.88628,0.50589,1.41102,0.95713,1.07079,0.0017624,0.0017624,0.0017624
14,234.907,1.37431,1.08018,1.03319,0.92351,0.72727,0.83143,0.39121,1.79156,1.06523,1.26332,0.0017426,0.0017426,0.0017426
15,248.019,1.37738,1.03929,1.04653,0.76118,0.68819,0.72292,0.33104,1.81084,1.26393,1.2546,0.0017228,0.0017228,0.0017228
16,261.002,1.37183,1.04229,1.05151,0.89008,0.64414,0.8153,0.43755,1.55399,1.03665,1.13523,0.001703,0.001703,0.001703
17,274.225,1.3399,1.01406,1.03289,0.84629,0.75,0.84428,0.41909,1.68628,1.0304,1.2226,0.0016832,0.0016832,0.0016832
18,287.341,1.32459,0.96105,1.0285,0.84437,0.80682,0.89982,0.49798,1.43562,0.80495,1.11476,0.0016634,0.0016634,0.0016634
19,300.467,1.34869,0.99552,1.01133,0.83501,0.80517,0.86809,0.43961,1.56143,0.82795,1.16316,0.0016436,0.0016436,0.0016436
20,313.454,1.30222,0.9516,1.02129,0.80855,0.79545,0.86295,0.44358,1.60226,1.00296,1.16782,0.0016238,0.0016238,0.0016238
21,326.617,1.32974,0.95753,1.02038,0.94794,0.77273,0.8699,0.49577,1.45249,0.84889,1.09592,0.001604,0.001604,0.001604
22,339.551,1.34224,0.96755,1.02222,0.8648,0.79545,0.85674,0.44118,1.51393,1.05145,1.14978,0.0015842,0.0015842,0.0015842
23,352.667,1.3624,0.96621,1.03637,0.9212,0.72727,0.84325,0.49281,1.4536,0.89189,1.12279,0.0015644,0.0015644,0.0015644
24,365.698,1.30814,0.93052,1.01791,0.79938,0.81504,0.8845,0.44811,1.62274,0.89219,1.18747,0.0015446,0.0015446,0.0015446
25,378.801,1.31006,0.9313,1.00934,0.8733,0.81818,0.87431,0.49037,1.45483,0.86113,1.10345,0.0015248,0.0015248,0.0015248
26,391.899,1.29616,0.90187,1.01553,0.85421,0.80682,0.89415,0.50992,1.4209,0.84698,1.07081,0.001505,0.001505,0.001505
27,405.014,1.29928,0.9009,1.01263,0.91987,0.78409,0.90146,0.45365,1.60204,0.88431,1.15968,0.0014852,0.0014852,0.0014852
28,418.475,1.26588,0.88513,1.0157,0.84406,0.82955,0.87654,0.47431,1.51441,0.91054,1.13904,0.0014654,0.0014654,0.0014654
29,432.272,1.26861,0.88,0.98496,0.94886,0.75,0.86422,0.51941,1.41545,0.85341,1.06694,0.0014456,0.0014456,0.0014456
30,446.451,1.28165,0.85758,1.01349,0.84522,0.71591,0.79612,0.46286,1.48312,0.98568,1.1084,0.0014258,0.0014258,0.0014258
31,460.029,1.27228,0.86323,1.0193,0.8519,0.81818,0.89602,0.47629,1.61752,0.82509,1.19041,0.001406,0.001406,0.001406
32,473.095,1.29416,0.86554,0.99145,0.89728,0.81818,0.86259,0.46923,1.53363,0.82124,1.13379,0.0013862,0.0013862,0.0013862
33,486.086,1.31608,0.87611,0.99965,0.89741,0.81818,0.90275,0.51649,1.45363,0.85558,1.11405,0.0013664,0.0013664,0.0013664
34,499.096,1.2555,0.83521,0.99912,0.89976,0.81604,0.90341,0.50034,1.47121,0.80255,1.11336,0.0013466,0.0013466,0.0013466
35,512.075,1.24231,0.80196,0.98978,0.86172,0.80682,0.90546,0.51331,1.40086,0.83697,1.07696,0.0013268,0.0013268,0.0013268
36,525.287,1.27711,0.85085,0.99901,0.89794,0.79989,0.90667,0.47011,1.52551,0.88957,1.16354,0.001307,0.001307,0.001307
37,538.307,1.26887,0.81937,0.99228,0.86286,0.78651,0.86593,0.43294,1.6496,0.861,1.17471,0.0012872,0.0012872,0.0012872
38,551.392,1.25666,0.80914,0.98027,0.97827,0.75,0.88469,0.48858,1.47419,0.91575,1.09274,0.0012674,0.0012674,0.0012674
39,564.482,1.23029,0.81505,0.98354,0.94298,0.75,0.89677,0.52973,1.32947,0.80585,1.03967,0.0012476,0.0012476,0.0012476
40,577.425,1.2492,0.79981,0.99428,0.89175,0.84254,0.90852,0.45264,1.62977,0.76266,1.16404,0.0012278,0.0012278,0.0012278
41,590.338,1.26288,0.82259,1.00352,0.84483,0.76136,0.82816,0.50492,1.34883,0.9574,1.03614,0.001208,0.001208,0.001208
42,603.628,1.22488,0.79734,0.98063,0.80166,0.85227,0.88077,0.48806,1.48357,0.80975,1.12076,0.0011882,0.0011882,0.0011882
43,616.843,1.22188,0.7826,0.98917,0.86046,0.84091,0.87449,0.46488,1.57585,0.80762,1.16369,0.0011684,0.0011684,0.0011684
44,629.968,1.2222,0.75172,0.98432,0.89045,0.79545,0.87541,0.50524,1.45179,0.85947,1.09216,0.0011486,0.0011486,0.0011486
45,643.055,1.23359,0.7621,0.9772,0.8765,0.82955,0.8725,0.48688,1.52077,0.85962,1.13507,0.0011288,0.0011288,0.0011288
46,656.326,1.21366,0.78082,0.97775,0.84732,0.81988,0.87771,0.49961,1.39891,0.82751,1.05912,0.001109,0.001109,0.001109
47,669.342,1.20078,0.75985,0.98373,0.85145,0.79545,0.87817,0.49541,1.47496,0.87548,1.11044,0.0010892,0.0010892,0.0010892
48,682.414,1.20518,0.76293,0.97943,0.86775,0.81818,0.89873,0.49914,1.49863,0.7799,1.10446,0.0010694,0.0010694,0.0010694
49,695.487,1.17652,0.73217,0.96536,0.9836,0.68155,0.86792,0.5056,1.43689,0.78716,1.10309,0.0010496,0.0010496,0.0010496
