epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4063,2.14374,2.7491,2.15783,0.00678,1,0.47304,0.12929,1.70161,2.87627,1.66219,0.0004,0.0004,0.0004
2,28.6877,1.70853,2.14921,1.85608,0.63975,0.13115,0.28913,0.11626,2.22035,2.48378,2.10294,0.000811882,0.000811882,0.000811882
3,33.9269,1.67539,2.0898,1.79419,0.33148,0.14754,0.11521,0.04208,2.38603,2.72173,2.09806,0.00121545,0.00121545,0.00121545
4,38.9255,1.65856,1.87809,1.78466,0.31374,0.27869,0.25311,0.12074,2.22695,2.3172,2.21573,0.0016107,0.0016107,0.0016107
5,43.9547,1.58759,1.89299,1.76337,0.50379,0.21311,0.28396,0.14893,1.78988,3.40114,1.83727,0.0019208,0.0019208,0.0019208
6,49.0281,1.61737,1.83056,1.76021,0.29354,0.52459,0.30026,0.16228,1.95204,4.25818,1.89121,0.001901,0.001901,0.001901
7,53.9009,1.62084,1.94247,1.77876,0.28587,0.33473,0.27517,0.1223,2.31392,2.8886,2.26514,0.0018812,0.0018812,0.0018812
8,58.8071,1.60677,1.76883,1.76135,0.77504,0.39344,0.47657,0.18979,2.4353,2.36334,2.38468,0.0018614,0.0018614,0.0018614
9,63.7073,1.59384,1.67343,1.73668,0.39019,0.29373,0.24813,0.10979,2.22632,2.27355,2.18689,0.0018416,0.0018416,0.0018416
10,68.5636,1.52849,1.65306,1.6906,0.65918,0.54098,0.56374,0.2266,2.10807,1.86889,2.0388,0.0018218,0.0018218,0.0018218
11,73.4683,1.56867,1.64279,1.72861,0.4876,0.46807,0.40129,0.20476,1.84864,2.1006,1.86987,0.001802,0.001802,0.001802
12,78.3066,1.58161,1.66368,1.74604,0.66823,0.63934,0.63682,0.32838,1.73088,1.9662,1.71467,0.0017822,0.0017822,0.0017822
13,83.2256,1.59679,1.68636,1.79436,0.77565,0.62348,0.71289,0.34768,1.7519,1.84034,1.75792,0.0017624,0.0017624,0.0017624
14,88.2159,1.52572,1.61178,1.70682,0.70051,0.69022,0.72202,0.29325,1.92437,1.76788,1.87889,0.0017426,0.0017426,0.0017426
15,93.3687,1.49698,1.52339,1.66739,0.77855,0.69166,0.77901,0.37575,1.80946,1.52325,1.736,0.0017228,0.0017228,0.0017228
16,98.4254,1.47779,1.52693,1.65696,0.72246,0.68283,0.70171,0.43482,1.5493,1.49297,1.58662,0.001703,0.001703,0.001703
17,103.6,1.48602,1.45806,1.64825,0.68755,0.7377,0.78118,0.38597,1.90787,1.81586,1.76353,0.0016832,0.0016832,0.0016832
18,108.758,1.53525,1.50085,1.69654,0.68944,0.7541,0.70147,0.34808,1.89788,1.55382,1.74069,0.0016634,0.0016634,0.0016634
19,114.001,1.51891,1.51955,1.70228,0.63622,0.7541,0.70094,0.26788,2.26085,1.78476,1.99724,0.0016436,0.0016436,0.0016436
20,118.972,1.40928,1.39,1.59736,0.75511,0.68852,0.78977,0.34165,1.96855,1.40033,1.75558,0.0016238,0.0016238,0.0016238
21,123.898,1.43908,1.40763,1.60191,0.67646,0.70492,0.72322,0.38633,1.6622,1.39692,1.53654,0.001604,0.001604,0.001604
22,128.896,1.44159,1.36998,1.60738,0.55245,0.64762,0.59242,0.29344,1.77631,1.63981,1.69702,0.0015842,0.0015842,0.0015842
23,133.831,1.46304,1.4377,1.64246,0.78109,0.63934,0.70419,0.3863,1.61945,1.52769,1.59282,0.0015644,0.0015644,0.0015644
24,138.939,1.38369,1.33113,1.59496,0.59604,0.7377,0.64594,0.34329,1.7221,1.72342,1.66402,0.0015446,0.0015446,0.0015446
25,144.135,1.41182,1.33922,1.59738,0.62538,0.7377,0.70203,0.361,1.84061,1.6262,1.71603,0.0015248,0.0015248,0.0015248
